key,CHANGE_DATE,de,en,ru,tr,ar,fr,fa,nl,pl,it,es,sp - nicht berücksichtigen,pt,uk,ka (georgisch)
WEIGHT_INPUT.PLACEHOLDER,,Kilogramm,Kilograms,Килограмм,Kilogram,كيلوغرام,Kilogrammes ,کیلوگرم,Kilogram,Kilogramów,chilogrammi,Kilogramos,Kilogramos,Kilogramas ,Кілограм,კილოგრამი
SELECTION_POPUP_INPUT.PLACEHOLDER,,Auswählen,Select,Выбрать,Seçiniz,إختيار - يحدد,Sélectionnez,انتخاب کنید,Selecteer,Wybierz,scegliere,Seleccione,Seleccione ,Selecione ,Вибрати,აირჩიეთ
MULTI_SELECTION_POPUP.TITLE,,Auswählen,Select,Выбрать,Seçiniz,إختيار - يحدد,Sélectionnez,انتخاب کنید,Selecteer,Wybierz,scegliere,Seleccione,Seleccione ,Selecione ,Вибрати,აირჩიეთ
EPISODE_COUNT_INPUT.PLACEHOLDER,,Fieberphasen,Fever phases,Фазы лихорадки,Ateş evreleri,مراحل محمومة,Phase de fièvre,دوره های تب,Koortsfases,Fazy gorączki,fasi febbrili,Fases de la Fiebre,Fases de la fiebre ,Fases da febre ,Фази гарячки,ცხელების ფაზები
MEDICATION_INPUT.PLACEHOLDER,,Auswählen,Select,Выбрать,Seçiniz,إختيار - يحدد,Sélectionnez,انتخاب کنید,Selecteer,Wybierz,scegliere,Seleccione,Seleccione ,Selecione ,Вибрати,აირჩიეთ
MEDICATION_INPUT.VALUE_LABEL_SINGULAR,,Medikamentengabe,Medication,Прием медикаментов,İlaç alımı,إدارة الدواء,Administration du médicament,دارو,Toediening van geneesmiddelen,Podawanie leków,somministrazione di farmaci,Administración de Medicamento,Medicación ,Medicamentos ,Вживання медикаментів,მედიკამენტის მიღება
MEDICATION_INPUT.VALUE_LABEL_PLURAL,,Medikamentengaben,Medications,Прием медикаментов,İlaç alımları,إدارة الدواء,Administration des médicaments,داروها,Toediening van geneesmiddelen,Podawanie leków,somministrazioni dii farmaci,Administración de Medicamentos,Medicamentos ,Medicamentos ,Вживання медикаментів,მედიკამენტის მიღება
DOCTOR_INPUT.PLACEHOLDER,,Auswählen,Select,Выбрать,Seçiniz,إختيار - يحدد,Sélectionnez,انتخاب کنید,Selecteer,Wybierz,scegliere,Seleccione,Seleccione ,Selecione ,Вибрати,აირჩიეთ
HEIGHT_INPUT.PLACEHOLDER,,Zentimeter,Centimeters,Сантиметр,Santimetre,سنتيمتر,Centimètres ,سانتی متر,Centimeter,Centymetry,centimetrri,Centímetros,Centímetros ,Centimetros ,Сантиметр,სანტიმეტრი
DATE_INPUT.PLACEHOLDER,,--,--,--,--,--,--,--,--,--,--,--,-- ,-- ,--,-
DATE_TIME_INPUT.PLACEHOLDER,,--,--,--,--,--,--,--,--,--,--,--,-- ,-- ,--,-
ADMINISTRATION_FORM.REASON,,Grund,Reason,Причина,Sebep,السبب,Motif,دلیل,Reden,Uzasadnienie/Powód,ragione,Razón,Razón ,Motivo ,Причина,მიზეზი
ADMINISTRATION_FORM.RECOMMENDATION,,Entscheidungsgrundlage,Basis of decision,Основания для принятого решения,Karar nedeni,أساس اتخاذ القرار,Base de prise de décision ,مبنای تصمیم گیری,Basis voor de besluitvorming,Uzasadnienie decyzji,base del processo decisionale,Motivo de la decisión,Base de la decisión ,Base de decisão ,Основа для прийнятого рішення,გადაწყვეტილების მიღების  საფუძველი
ADMINISTRATION_FORM.DATE,,Datum,Date,Дата,Tarih,تاريخ,Date ,تاریخ,Datum,Data,data,Fecha,Fecha ,Data ,Дата,თარიღი
ADMINISTRATION_FORM.TIME,,Uhrzeit,Time,Время,Saat,وقت,Heure,زمان,Tijd,Czas,ora,Hora,Hora,Hora ,Час,დრო
ADMINISTRATION_FORM.MORE,,Weiteres Medikament,Other medication,Следующий медикамент,Diğer ilaç,عقار آخر,Médicaments supplémentaires ,داروهای دیگر,Een ander medicijn,Kolejne leki,altro farmaco,Otros medicamentos,Otros medicamentos ,Outros medicamentos ,Наступний медикамент,შემდეგი წამალი
ADMINISTRATION_FORM.DONE,,Fertig,Done,Готово,Tamam,تم الانتهاء من,Prêt,انجام شد,Klaar,Gotowe,finito,Hecho,Hecho ,Feito ,Готово,დასრულება
ADMINISTRATION_FORM.SUB_NOTE,,"Bitte füllen Sie die obigen Felder erneut korrekt aus. Falls Sie schon einmal eine Eintragung für eines Ihrer Medikamente gemacht hatten, sind diese Felder schon vorausgefüllt, damit Sie bei wiederholter Verabreichung desselben Medikamentes schneller sind. Sie können jedoch jedes obige vorausgefüllte Feld durch Draufklicken editieren und anpassen. Falls Sie weitere Medikamente verabreicht haben, kommen Sie über „Weiteres Medikament“ zurück zur Ihrer Medikamentenliste. Dort scannen oder suchen Sie das weitere Medikament und wählen dessen Verabreichungsform und Zeitpunkt.","Please fill in the above fields correctly again. If you had already made an entry for one of your medications, these fields are pre-filled to help you be faster when administering the same medication repeatedly. However, you can edit and adjust any of the above pre-filled fields by clicking on them.<br>If you have administered other medicines, click on ""Other medicine"" to return to your medicine list. There you can scan or search for the additional medicine and select its administration form and time.","Пожалуйста, заполните вышеуказанные поля правильно еще раз. Если вы уже вводили данные для одного из своих медикаментов, эти поля заполняются заранее, чтобы ускорить процесс повторного введения одного и того же медикамента. Однако вы можете редактировать и корректировать любое из предварительно заполненных полей, щелкнув по ним.Если вы назначили дополнительные медикаменты, вы можете вернуться к списку лекарств, нажав на ""Следующий медикамент"". Там вы сканируете или ищете дополнительный медикамент и выбираете форму и время его приема.","Lütfen yukarıdaki alanları doldurunuz. İlaçlarınızdan birini zaten kayıt ettiyseniz, bu alanlar sizin için otomatik doldurulur, böylece aynı ilacı tekrar gird399iğinizde daha hızlı olursunuz. Ayrıca, yukarıdaki alanlardan herhangi birini tekrar tıklayarak düzenleyebilirsiniz. Başka ilaçlar verdiyseniz çocuğunuza, ilaç listenize geri dönmek için ""diğer ilaçlar"" ı tıklayın. Orada ilave ilacı tarayabilir veya arayabilir ve alım şeklini ve zamanını da seçebilirsiniz.","يرجى حاليا ملء الحقول أعلاه. إذا كنت قد أدخلت بالفعل أحد الأدوية الخاصة بك بحيث تكون أسرع عند استخدام نفس الدواء بشكل متكرر. ومع ذلك ، يمكنك تعديل أي من الحقول المذكورة أعلاه وتعديلها من خلال النقر عليه. <br> إذا كنت قد قمت بإعطاء المزيد من الأدوية ، فيمكنك العودة إلى قائمة الأدوية الخاصة بك عن طريق ""دواء إضافي"". هناك تقوم بالمسح الضوئي أو البحث عن الدواء الآخر واختيار شكل إدارته والوقت.","Veuillez à nouveau remplir correctement les champs ci-dessus. Si vous avez déjà fait une inscription pour l'un de vos médicaments, ces champs sont pré-remplis afin de vous permettre d'être plus rapide. Vous pouvez toutefois éditer et adapter chaque champ pré-rempli en cliquant dessus.Si vous avez administré d'autres médicaments, vous pouvez revenir à votre liste de médicaments en cliquant sur ""Autre médicament"". Là, vous pouvez scannes ou rechercher le médicament supplémentaire et choisissez son mode et son moment d'administration.","لطفا قسمت های بالا را تکمیل کنید. اگر تا کنون داروهای مورد استفاده ی خود را ثبت کرده باشید، این قسمت ها برای شما به طور خودکار پر شده می باشند. در نتیجه، در صورت استفاده مکرر از یک دارو، سرعت شما بیشتر خواهد بود. با این حال می توانید با کلیک بر روی هر یک از قسمت های بالا آن ها را ویرایش و تغییر دهید.<br>اگر داروهای دیگری را استفاده کرده اید، گزینه ی ""سایر داروها"" را انتخاب کنید تا به لیست داروهای خود وارد شوید. در این قسمت می توانید داروهای دیگر را جستجو و یا اسکن کنید و زمان و طریقه ی مصرف را نیز انتخاب کنید. ","Gelieve bovenstaande velden opnieuw correct in te vullen. Als u voor een van uw geneesmiddelen al een vermelding had gemaakt, zijn deze velden vooraf ingevuld, zodat u bij herhaalde toediening van hetzelfde geneesmiddel sneller bent. U kunt echter alle vooringevulde velden hierboven bewerken en aanpassen door erop te klikken. Als u nog meer medicijnen heeft toegediend, kunt u terugkeren naar uw lijst met medicijnen door op ""Verder medicijn"" te klikken. Daar scant of zoekt u het aanvullende geneesmiddel en kiest u de toedieningsvorm en het tijdstip.","Prosimy o ponowne prawidłowe wypełnienie powyższych pól. Jeśli już dokonałeś wpisu dla jednego ze swoich leków, pola te są wstępnie wypełnione, aby przyspieszyć pracę, jeśli podajesz ten sam lek wielokrotnie. Możesz jednak edytować i dostosować każde z wstępnie wypełnionych pól powyżej, klikając na nie. Jeśli podałeś kolejne leki, możesz powrócić do swojej listy leków klikając na ""Kolejne leki"". Tam skanujesz lub wyszukujesz dodatkowy lek i wybierasz formę i czas jego podania.","Si prega di compilare nuovamente i campi sopra indicati. Se ha già fatto una registrazione per una delle sue medicine, i campi sono pre-riempiti in modo da permetterle di essere più veloce quando somministra la stessa medicina ripetutamente. Tuttavia, puoi modificare e aggiustare qualsiasi dei campi di cui sopra cliccando su di essi.<br>Se hai somministrato altri farmaci, puoi tornare alla tua lista di farmaci cliccando su ""Altri farmaci"". Lì si scansiona o si cerca la medicina aggiuntiva e si seleziona la sua forma di somministrazione e il tempo.","Por favor, vuelva a rellenar correctamente los campos anteriores. Si ya había hecho una entrada para uno de sus medicamentos, estos campos están pre-rellenados para que sea más rápido cuando administre el mismo medicamento repetidamente. No obstante, puede modificar y ajustar cualquiera de los campos rellenados previamente haciendo clic en ellos. .< br> Si ha administrado más medicamentos, puede volver a su lista de medicamentos haciendo clic en "" Otros medicamentos "". Allí podrá escanear o buscar el medicamento adicional y seleccionar su forma y hora de administración.","Por favor, vuelva a rellenar correctamente los campos anteriores. Si ya había hecho una entrada para uno de sus medicamentos, estos campos están pre-rellenados para ayudarle a ser más rápido al administrar el mismo medicamento repetidamente. Sin embargo, puede editar y ajustar cualquiera de los campos precargados arriba haciendo clic en ellos.< br>Si ha administrado otros medicamentos, haga clic en ""Otro medicamento"" para volver a su lista de medicamentos. Allí puede escanear o buscar el medicamento adicional y seleccionar su forma y hora de administración. ","Favor preencher os campos acima. Se você já tiver feito uma entrada para um de seus medicamentos, estes campos estão pré-preenchidos para ajudá-lo a ser mais rápido ao administrar o mesmo medicamento de novo. Entretanto, você pode editar e ajustar qualquer um dos campos acima, clicando neles.<br>Se você já administrou outros medicamentos, clique em ""Outros medicamentos"" para retornar à sua lista de medicamentos. Lá você pode escanear ou pesquisar o medicamento adicional e selecionar sua forma e tempo de administração.","Будь ласка, ще раз правильно заповніть вищезазначені поля. Якщо Ви вже ввели дані по одному з ваших ліків, ці поля заповнюються заздалегідь, щоб прискорити процес повторного введення того ж препарату. Проте Ви можете редагувати і корегувати будь яке із попередньо заповнених полів, натиснувши на них. Якщо Ви призначили додаткові ліки, Ви можете повернутися до списку ліків, натиснувши на «Наступний препарат». Там Ви скануєте або шукаєте додатковий препарат і вибираєте форму і час його прийому.","გთხოვთ შეავსოთ ზემოთ მოცემული ველები სწორად. თუ თქვენ უკვე შეყვანილი გაქვთ რომელიმე მედიკამენტი, ეს ველები დაგხვდებათ წინასწარ შევსებული და დაგეხმარებათ  შესაბამისი გრაფის  უფრო სწრაფად შევსებაში. თუმცა, თქვენ შეგიძლიათ ნებისმიერ დროს შეცვალოთ ან შეასწოროთ წინასწარ შევსებული ველები მათზე ხელის დაჭერით. <br> თუ გამოიყენებთ სხვა მედიკამენტს დააჭირეთ ""სხვა მედიკამენტები"" რომ დაბრუნდეთ თქვენი მედიკამენტების სიაში. იქ შეძლებთ დაასკანეროთ, ან მოძებნოთ დამატებით მედიკამენტები და აირჩიოთ მისი გამოყენების ფორმა და დრო."
ADMINISTRATION_FORM.UNIT.CM,,Zentimeter (cm),Centimeters (cm),Сантиметр (см),Santimetre (cm),سنتيمتر (سم),Centimètres (cm),سانتی متر (cm),Centimeter (cm),Centymetr (cm),centimetri (cm),Centímetros (cm),Centímetros (cm) ,Centimetros (cm) ,Сантиметр (см),სანტიმეტრი (სმ)
ADMINISTRATION_FORM.UNIT.FL,,Flaschen,Bottles,Бутылочки,Şişeler,زجاجات,Bouteilles ,بطری ها,Flessen,Butelki,bottigliette,Botellas,Botellas ,Garrafas ,Пляшечки,ბოთლები
ADMINISTRATION_FORM.UNIT.G,,Gramm (g),Grams (g),Грамм (g),Gram (gr),غرام (غ),Grammes (g),گرم (g),Gram (g),Gram (g),grammi (g),Gramos (g),Gramos (g) ,Gramas (g) ,Грам (g),გრამი (გრ)
ADMINISTRATION_FORM.UNIT.KG,,Kilogramm (kg),Kilograms,Килограмм (кг),Kilogram (kg),كيلوغرام (كلغ),Kilogrammes (kg),کیلوگرم,Kilogram (kg),Kilogram (kg),chilogrammi (kg),Kilogramos (kg),Kilogramos ,Kilogramas ,Кілограм (кг),კილოგრამი (კგ)
ADMINISTRATION_FORM.UNIT.L,,Liter (l),Litre (l),Литр (л),Litre (lt),لتر (لتر),Litres (l),لیتر (l),Liter (l),Litr (l),litri (l),Litro (l),Litro (l) ,Litro (l) ,Літр (л),ლიტრი (ლ)
ADMINISTRATION_FORM.UNIT.M,,Meter (m),Metre (m),Метр (м),Metre (m),متر (م),Mètres (m),متر (m),Meter (m),Metr (m),metri (m),Metro (m),Metro (m) ,Metro (m) ,Метр (м),მეტრი (მ)
ADMINISTRATION_FORM.UNIT.MG,,Milligramm (mg),Milligrams (mg),Миллиграм (мг),Miligram (mg),ملليغرام (ملغ),Milligrammes (mg),میلی گرم (mg),Milligram (mg),Miligram (mg),miligrammi (mg),Miligramos (mg),Miligramos (mg) ,Miligramas (mg) ,Міліграм (мг),მილიგრამი (მგ)
ADMINISTRATION_FORM.UNIT.ML,,Milliliter (ml),Milliliters (ml),Миллилитр (мл),Mililitre (ml),ملليلتر (مل),Millilitres (ml),میلی لیتر (ml),Milliliter (ml),Mililitr (ml),millilitri (ml),Mililitros (ml),Mililitros (ml) ,Mililitros (ml) ,Мілілітр (мл),მილიმეტრი (მმ)
ADMINISTRATION_FORM.UNIT.P,,Packungen,Packs,Упаковки,Paket,حزم,Paquets ,بسته ها,Verpakkingen,Opakowania,confezioni,Paquetes,Paquetes ,Embalagens ,Упаковки,კოლოფი
ADMINISTRATION_FORM.UNIT.ST,,Stück,Pieces,Штука,Adet,قطعة,Pièces ,قطعات,Stuk,Porcja,pezzo,Piezas,Piezas ,Peças ,одиниця,ცალი
ADMINISTRATION_FORM.UNIT.UG,,Mikrogramm (µg),Micrograms (µ g),Микрограмм (µg),Mikrogram (µg),ميكروغرام,Microgrammes (µg),میکروگرم  (µg),Microgram (µg),Mikrogram (µg),microgrammi (µg),Microgramos (µ g),Microgramos (µ g) ,Microgramas (µ g) ,Мікрограм (µg),მიკროგრამი (მკგ)
ADMINISTRATION_FORM.TYPE_VALUE_LABEL,,Menge,Amount,Количество,Miktar,كمية,Quantité ,مقدار,Hoeveelheid,Ilość,quantità,Cantidad,Importe ,Montante ,Кількість,რაოდენობა
ADMINISTRATION_FORM.TYPE.AEO,,Ätherisches Öl,Essential oil,Эфирное масло,Esansiyel yağlar,زيت متطاير,Huile essentielle ,محلول عصاره ی روغنی (اسانس),Etherische olie,Olejek eteryczny,olio essenziale,Aceite Esencial,Aceite esencial ,Óleo essencial ,Ефірне масло,ეთერზეთი
ADMINISTRATION_FORM.TYPE.AMP,,Ampullen,Ampules,Ампулы,Ampuller,أمبولات,Ampoules ,آمپول,Ampullen,Ampułki,fiale,Ampolleta,Ampollas ,Ampolas ,Ампули,ამპულები
ADMINISTRATION_FORM.TYPE.APA,,Ampullenpaare,Ampule pairs,Пары ампул,Ampul çiftleri,أزواج أمبولات,Paires d'ampoules ,جفت آمپول,Paar ampullen,Para ampułek,coppia di fiale,Ampolletas en paquete de dos,Pares de ampolletas ,Pares de ampolas ,Пари ампул,წყვილი ამპულა
ADMINISTRATION_FORM.TYPE.ASN,,Augen- und Nasensalbe,eye and nose ointment,Мазь для глаз и носа,Göz ve burun merhemi,مرهم للعين والأنف,Pommade ophtalmique et nasale ,پماد چشم و بینی,Oog- en neuszalf,Maść do oczu i nosa,unguento per gli occhi e il naso,Ungüento para los ojos y nariz,Pomada para los ojos y la nariz ,Pomada para os olhos e o nariz ,Мазь для очей і носу,თვალის და ცხვირის მალამო
ADMINISTRATION_FORM.TYPE.ASO,,Augen- und Ohrensalbe,eye and ear ointment,Мазь для глаз и ушей,Göz ve kulak merhemi,مرهم العين والأذن,Pommade ophtalmique et auriculaire,پماد چشم و گوش,Oog- en oorzalf,Maść do oczu i uszu,unguento per gli occhi e le orecchie,Ungüento para los ojos y oídos,Pomada para los ojos y los oídos ,Pomada para olhos e ouvidos,Мазь для очей і вух,თვალის და ყურის მალამო
ADMINISTRATION_FORM.TYPE.ATO,,Augen- und Ohrentropfen,eye and ear drops,Капли для глаз и ушей,Göz ve kulak damlası,قطرات العين والأذن,Gouttes ophtalmiques et auriculaires ,پماد چشم و گوش,Oog- en oordruppels,Krople do oczu i uszu,gocce per gli occhi e le orecchie,Gotas para los ojos y oídos,Gotas para los ojos y los oídos , Gotas para olhos e ouvidos,Каплі для очей і вух,თვალის და ყურის წვეთები
ADMINISTRATION_FORM.TYPE.ATR,,Augentropfen,Eye drops,Глазные капли,Göz damlası,قطرة للعين,Gouttes ophtalmiques  ,قطره ی چشم,Oogdruppels,Krople do oczu,gocce per le orecchie,Gotas para los ojos,Gotas para los ojos ,Gotas oftálmicas ,Очні каплі,თვალის წვეთები
ADMINISTRATION_FORM.TYPE.AUB,,Augenbad,Eye bath,Глазная ванночка,Göz banyosu,حمام العين,Bain oculaire ,شستشوی چشم,Oogbad,Roztwór do oczu,bagno per gli occhi,Lavado de ojos,Baño de ojos ,Banho de olhos ,Очна ванночка,"თვალის ""აბაზანა"""
ADMINISTRATION_FORM.TYPE.AUC,,Augencreme,Eye cream,Глазной крем,Göz kremi,كريم العين,Collyre,کرم چشم,Oogcrème,Krem do oczu,crema per gli occhi,Crema para ojos ,Crema de ojos ,Creme para os olhos ,Очний крем,თვალის კრემი
ADMINISTRATION_FORM.TYPE.AUG,,Augengel,Eye gel,Глазной гель,Göz jeli,هلام العين,Gel ophtalmique ,ژل چشم,Ooggel,Żel do oczu,gel per gli occhi,Gel para ojos,Gel para los ojos ,Gel para os olhos ,Очний гель,თვალის გელი
ADMINISTRATION_FORM.TYPE.AUS,,Augensalbe,Eye ointment,Глазная мазь,Göz merhemi,مرهم العين,Pommade ophtalmique  ,پماد چشم,Oogzalf,Maść do oczu,unguento per gli occhi,Ungüento para ojos,Pomada para los ojos ,Pomada para os olhos ,Очна мазь,თვალის მალამო
ADMINISTRATION_FORM.TYPE.BAD,,Bad,Bath,Ванночка,Banyo,حمام,Bain ,حمام,Bad,Kąpiel,bagno ,Baño/Ducha ,Baño ,Banho ,Ванночка,აბაზანა
ADMINISTRATION_FORM.TYPE.BAL,,Balsam,Balm,Бальзам,Merhem,بلسم,Baume ,مرطوب کننده (نرم کننده),Balsem,Balsam,balsamo,Ungüento,Bálsamo ,Bálsamo ,Бальзам,ბალზამი
ADMINISTRATION_FORM.TYPE.BAN,,Bandage,Bandage,Бандаж,Bandaj,ضمادة,Bandage ,بانداژ (نوار زخم),Verband,Bandaż,benda,Vendaje,Vendaje ,Atadura ,Бандаж,ბანდაჟი
ADMINISTRATION_FORM.TYPE.BEU,,Beutel,Bag,Пакетик,Şase poşet,كيس,Sachet ,کیسه,Tas,Saszetka,borsa,Bolsa,Bolsa ,Bolsa,Пакетик,პაკეტი
ADMINISTRATION_FORM.TYPE.BIN,,Binden,compresses/wraps,Бинт,Sargı,ربط، قيد,Compresses/enveloppements ,کمپرس,Binden,Bandaże,benda,Compresas,compresas,compressas,Бинт,დოლბანდი
ADMINISTRATION_FORM.TYPE.BON,,Bonbons,Sweets,Конфеты,Şekerleme,حلويات,Sucreries ,آبنبات,Snoepjes,Cukierki,caramelle,Dulces,Dulces ,Sweets ,Цукерки,კანფეტები
ADMINISTRATION_FORM.TYPE.BPL,,Basisplatte,ground plate,Подложка,Ana yemek,لوح القاعده,Plaque de base ,صفحه ی اولیه,Basisplaat,Opłatek,piastra di base,Platillo principal,placa de base,placa de base,Підкладка,ლამბაქი
ADMINISTRATION_FORM.TYPE.BRE,,Brei,Mash,Каша,Lapa,عصيدة,Bouilli ,پوره,Porridge,Owsianka,miscuglio,Puré/Papilla,Papilla,Papinha,Каша,ფაფა
ADMINISTRATION_FORM.TYPE.BTA,,Brausetabletten,Effervescent pills,Шипучие таблетки,Efervesan tabletler,أقراص فوار,Comprimés effervescents,قرص های جوشان,Bruistabletten,Tabletki musujące,compressa effervescente,Pastillas efervescentes,Pastillas efervescentes ,Comprimidos efervescentes ,Шипучі таблетки,წყალში ხსნადი ტაბლეტები
ADMINISTRATION_FORM.TYPE.CRE,,Creme,Cream,Крем,Krem,كريم,Crème  ,کرم ,Crème,Krem,crema,Crema ,Crema ,Cremes ,Крем,კრემი
ADMINISTRATION_FORM.TYPE.DFL,,Durchstechflaschen,vials,Флаконы,Flakon şişe,قوارير,Flacons,ویال,Injectieflacons,Fiolki,fiale,Solución diluyente/ Vehículo/ Solución salina,viales ,frascos ,Флакони,ფლაკონი
ADMINISTRATION_FORM.TYPE.DIL,,Dilution,Dilution,Раствор,Seyrelti,تخفيف,Dilution ,رقیق سازی,Verdunning,Roztwór,diluizione,Dilución,Dilución ,Diluição ,Розчин,განზავება
ADMINISTRATION_FORM.TYPE.DIS,,Depot-Injektionssuspension,Depot injection suspension,Суспензии для инъекций с пролонгированным действием,Enjeksiyonluk çözelti içeren kullanıma hazır enjektör,محلول معلق للحقن,Dépôt de suspension injectable ,سیستم تعلیق تزریق داروی دپوت,Depotsuspensie voor injectie,Zawiesina do wstrzykiwań Depot,Sospensione per iniezione depot,Suspensión inyectable de depósito,Suspensión inyectable de depósito ,Suspensão injetável de depósito  ,Суспензії для ін'єкцій з подовженою дією,დეპო-საინექციო სუსპენზია
ADMINISTRATION_FORM.TYPE.DKA,,Dragees in Kalenderpackung,Dragees in calendar pack,Драже в календарной упаковке,Blister ambalaj drajeler,دراجيس في حزمة التقويم,Dragées en pack calendrier ,جعبه یادآوری قرص روزانه,Dragees in kalenderpakket,Drażetki w opakowaniu miesięcznym,Pastiglie in pacchetto calendario,Píldoras en paquete de calendario,Gragea em paquete de calendario,Drágreas em embalagem com calendário,Драже в календарній упаковці,დრაჟე კალენდარულ შეფუთვაში
ADMINISTRATION_FORM.TYPE.DOS,,Dosieraerosol,Dosing aerosol,Аэрозоль с дозатором,Aerosol inhalasyon çözeltisi,الهباء الجوي بالجرعات المقننة,Aérosol-doseur ,دوز داروهای استنشاقی,Inhalator met dosering,Aerozol inhalacyjny z dozownikien,aerosol a dosaggio,Inhalador de dosis medida/ dosificado,Aerosol con dosificación ,Aerossol com dosificador,Аерозоль з дозатором,დოზირებული აეროზოლი
ADMINISTRATION_FORM.TYPE.DRA,,Dragees,Dragee,Драже,Drajeler,دراجيس,Dragées  ,داروها,Dragees,Drażetki,Pastiglie,Gragea,Gragea,Drágea,Драже в календарній упаковці,დრაჟე
